match_id,season,league,matchday,kickoff,home_team_id,home_team,away_team_id,away_team,dataset_split,home_news_sporting_form_mean_rating,home_news_sporting_form_mention_share,home_news_personnel_situation_mean_rating,home_news_personnel_situation_mention_share,home_news_physical_readiness_mean_rating,home_news_physical_readiness_mention_share,home_news_confidence_and_motivation_mean_rating,home_news_confidence_and_motivation_mention_share,away_news_sporting_form_mean_rating,away_news_sporting_form_mention_share,away_news_personnel_situation_mean_rating,away_news_personnel_situation_mention_share,away_news_physical_readiness_mean_rating,away_news_physical_readiness_mention_share,away_news_confidence_and_motivation_mean_rating,away_news_confidence_and_motivation_mention_share
77291,2025,bl1,4,2025-09-20T15:30:00+02:00,100,Hamburger SV,199,1. FC Heidenheim 1846,train,-1.0,0.392405,-0.1875,0.202532,-0.3,0.126582,0.090909,0.139241,-1.0,0.542169,-1.5,0.120482,-1.0,0.036145,0.428571,0.084337
77286,2025,bl1,4,2025-09-20T18:30:00+02:00,1635,RB Leipzig,65,1. FC Köln,train,0.617647,0.390805,-0.681818,0.252874,-0.142857,0.16092,0.695652,0.264368,0.9375,0.359551,0.230769,0.146067,0.0,0.022472,1.25,0.224719
77284,2025,bl1,4,2025-09-21T15:30:00+02:00,91,Eintracht Frankfurt,80,1. FC Union Berlin,train,0.970588,0.409639,0.5,0.168675,0.25,0.144578,0.944444,0.216867,-0.933333,0.168539,0.6,0.05618,0.0,0.022472,0.666667,0.033708
77283,2025,bl1,4,2025-09-21T17:30:00+02:00,6,Bayer 04 Leverkusen,87,Borussia Mönchengladbach,train,-0.76,0.324675,-0.833333,0.155844,0.0,0.0,0.230769,0.168831,-0.870968,0.378049,-1.0,0.158537,-1.2,0.060976,-1.25,0.04878
77285,2025,bl1,4,2025-09-21T19:30:00+02:00,7,Borussia Dortmund,131,VfL Wolfsburg,train,0.666667,0.321429,0.631579,0.22619,0.785714,0.166667,0.333333,0.107143,0.25,0.179775,0.8,0.224719,0.666667,0.101124,0.818182,0.123596
77292,2025,bl1,5,2025-09-26T20:30:00+02:00,40,FC Bayern München,134,SV Werder Bremen,train,1.666667,0.238636,0.25,0.045455,0.0,0.022727,1.272727,0.125,-0.583333,0.272727,-0.428571,0.238636,-0.833333,0.136364,0.888889,0.204545
77294,2025,bl1,5,2025-09-27T15:30:00+02:00,81,1. FSV Mainz 05,7,Borussia Dortmund,train,0.322581,0.3875,-0.769231,0.1625,-0.666667,0.0375,1.0,0.075,1.0,0.283951,0.541667,0.296296,0.529412,0.209877,1.0,0.246914
77296,2025,bl1,5,2025-09-27T15:30:00+02:00,131,VfL Wolfsburg,1635,RB Leipzig,train,-0.625,0.213333,-0.5,0.053333,0.0,0.0,0.142857,0.093333,0.076923,0.320988,0.0,0.098765,0.0,0.024691,1.133333,0.185185
77298,2025,bl1,5,2025-09-27T15:30:00+02:00,98,FC St. Pauli,6,Bayer 04 Leverkusen,train,-0.411765,0.441558,-0.4,0.064935,0.666667,0.038961,1.0,0.12987,-0.411765,0.2125,-0.142857,0.0875,0.0,0.0,-0.2,0.0625
77299,2025,bl1,5,2025-09-27T15:30:00+02:00,199,1. FC Heidenheim 1846,95,FC Augsburg,train,-1.083333,0.6,-0.6,0.0625,0.0,0.0,0.0,0.1875,-1.186047,0.52439,-0.933333,0.182927,0.5,0.02439,-0.3,0.365854
77295,2025,bl1,5,2025-09-27T18:30:00+02:00,87,Borussia Mönchengladbach,91,Eintracht Frankfurt,train,-0.384615,0.448276,-0.85,0.229885,-1.0,0.011494,0.6875,0.183908,-0.458333,0.315789,0.0,0.131579,0.0,0.078947,0.384615,0.171053
77293,2025,bl1,5,2025-09-28T15:30:00+02:00,112,SC Freiburg,175,TSG Hoffenheim,train,0.785714,0.333333,-0.4,0.059524,-1.0,0.02381,1.2,0.059524,-0.142857,0.247059,0.5,0.070588,0.0,0.0,0.25,0.047059
77300,2025,bl1,5,2025-09-28T17:30:00+02:00,65,1. FC Köln,16,VfB Stuttgart,train,0.541667,0.285714,-0.625,0.095238,-1.0,0.035714,1.181818,0.130952,0.92,0.301205,-0.428571,0.168675,-0.333333,0.072289,1.285714,0.084337
77297,2025,bl1,5,2025-09-28T19:30:00+02:00,80,1. FC Union Berlin,100,Hamburger SV,train,0.611111,0.225,-0.454545,0.1375,0.0,0.0,1.0,0.0875,0.428571,0.272727,0.0,0.090909,-0.666667,0.038961,0.785714,0.181818
77308,2025,bl1,6,2025-10-03T20:30:00+02:00,175,TSG Hoffenheim,65,1. FC Köln,train,-0.368421,0.22619,0.666667,0.071429,1.0,0.035714,0.888889,0.107143,-0.708333,0.27907,-0.789474,0.22093,-0.8,0.116279,0.4,0.116279
77301,2025,bl1,6,2025-10-04T15:30:00+02:00,6,Bayer 04 Leverkusen,80,1. FC Union Berlin,train,-0.275862,0.353659,-1.0,0.256098,-1.0,0.097561,-0.176471,0.207317,0.230769,0.1625,0.333333,0.0375,0.0,0.025,0.5,0.075
77303,2025,bl1,6,2025-10-04T15:30:00+02:00,7,Borussia Dortmund,1635,RB Leipzig,train,1.387097,0.397436,0.333333,0.153846,0.285714,0.089744,1.333333,0.153846,0.96,0.3125,-0.375,0.2,0.307692,0.1625,0.833333,0.15
77304,2025,bl1,6,2025-10-04T15:30:00+02:00,134,SV Werder Bremen,98,FC St. Pauli,train,-0.878788,0.37931,-0.461538,0.149425,-1.0,0.011494,0.636364,0.126437,0.071429,0.341463,-1.0,0.121951,-1.0,0.02439,0.461538,0.158537
77307,2025,bl1,6,2025-10-04T15:30:00+02:00,95,FC Augsburg,131,VfL Wolfsburg,train,-1.435897,0.493671,-0.666667,0.113924,0.0,0.012658,-0.65,0.253165,-0.757576,0.37931,-0.090909,0.126437,0.428571,0.08046,0.333333,0.137931
77302,2025,bl1,6,2025-10-04T18:30:00+02:00,91,Eintracht Frankfurt,40,FC Bayern München,train,-0.206897,0.386667,0.0,0.106667,-1.0,0.013333,0.1,0.133333,1.378378,0.468354,-0.111111,0.113924,-0.625,0.101266,1.142857,0.177215
77305,2025,bl1,6,2025-10-05T15:30:00+02:00,16,VfB Stuttgart,199,1. FC Heidenheim 1846,train,-0.633333,0.689655,0.0,0.068966,-1.0,0.034483,-0.433333,0.344828,0.166667,0.214286,-1.285714,0.083333,-1.0,0.047619,0.714286,0.083333
77309,2025,bl1,6,2025-10-05T17:30:00+02:00,100,Hamburger SV,81,1. FSV Mainz 05,train,0.5625,0.222222,-0.571429,0.194444,0.0,0.083333,1.454545,0.152778,0.466667,0.38961,-0.133333,0.194805,-0.166667,0.077922,1.117647,0.220779
77306,2025,bl1,6,2025-10-05T19:30:00+02:00,87,Borussia Mönchengladbach,112,SC Freiburg,train,-1.47619,0.5,-1.090909,0.261905,0.0,0.02381,-0.647059,0.202381,0.538462,0.506494,0.8,0.12987,-1.0,0.025974,0.733333,0.194805
77315,2025,bl1,7,2025-10-17T20:30:00+02:00,80,1. FC Union Berlin,87,Borussia Mönchengladbach,train,-0.416667,0.155844,0.0,0.103896,0.0,0.064935,0.5,0.077922,-1.519231,0.611765,-0.357143,0.329412,-1.0,0.035294,-0.181818,0.258824
77312,2025,bl1,7,2025-10-18T15:30:00+02:00,81,1. FSV Mainz 05,6,Bayer 04 Leverkusen,train,-1.058824,0.217949,0.0,0.0,0.0,0.0,1.0,0.064103,1.0,0.106667,-0.666667,0.04,-1.0,0.013333,1.333333,0.04
77313,2025,bl1,7,2025-10-18T15:30:00+02:00,1635,RB Leipzig,100,Hamburger SV,train,0.263158,0.22619,0.777778,0.107143,1.0,0.011905,1.0,0.059524,0.695652,0.2875,-0.153846,0.1625,-0.25,0.1,0.923077,0.1625
77314,2025,bl1,7,2025-10-18T15:30:00+02:00,131,VfL Wolfsburg,16,VfB Stuttgart,train,-1.15,0.240964,-0.375,0.096386,-0.333333,0.036145,-0.083333,0.144578,0.678571,0.329412,0.0,0.211765,-0.181818,0.129412,0.777778,0.105882
77317,2025,bl1,7,2025-10-18T15:30:00+02:00,199,1. FC Heidenheim 1846,134,SV Werder Bremen,train,-0.758621,0.446154,1.0,0.138462,1.0,0.076923,0.2,0.076923,0.153846,0.317073,-0.538462,0.158537,-0.428571,0.085366,0.909091,0.134146
77318,2025,bl1,7,2025-10-18T15:30:00+02:00,65,1. FC Köln,95,FC Augsburg,train,0.833333,0.344828,0.692308,0.149425,-0.363636,0.126437,0.916667,0.137931,0.538462,0.317073,0.4,0.121951,0.5,0.02439,0.8,0.182927
77310,2025,bl1,7,2025-10-18T18:30:00+02:00,40,FC Bayern München,7,Borussia Dortmund,train,1.771429,0.426829,-0.222222,0.109756,1.0,0.073171,1.5625,0.195122,1.0625,0.585366,0.875,0.097561,0.333333,0.073171,1.032258,0.378049
77311,2025,bl1,7,2025-10-19T15:30:00+02:00,112,SC Freiburg,91,Eintracht Frankfurt,train,0.642857,0.17284,0.636364,0.135802,0.888889,0.111111,1.0,0.049383,-0.875,0.285714,1.0,0.119048,1.0,0.059524,-0.545455,0.130952
77316,2025,bl1,7,2025-10-19T17:30:00+02:00,98,FC St. Pauli,175,TSG Hoffenheim,train,-0.916667,0.151899,0.8,0.063291,0.333333,0.037975,1.0,0.012658,-0.466667,0.189873,0.166667,0.075949,0.333333,0.075949,0.333333,0.037975
77322,2025,bl1,8,2025-10-24T20:30:00+02:00,134,SV Werder Bremen,80,1. FC Union Berlin,train,-0.666667,0.27907,-0.416667,0.139535,-0.285714,0.081395,-0.153846,0.151163,0.722222,0.211765,0.428571,0.082353,0.833333,0.070588,1.2,0.058824
77320,2025,bl1,8,2025-10-25T15:30:00+02:00,91,Eintracht Frankfurt,98,FC St. Pauli,train,-1.487805,0.488095,-0.230769,0.154762,-1.0,0.047619,-1.0,0.345238,-1.173913,0.310811,0.5,0.054054,0.5,0.027027,-1.142857,0.094595
77324,2025,bl1,8,2025-10-25T15:30:00+02:00,87,Borussia Mönchengladbach,40,FC Bayern München,train,-0.882353,0.43038,0.0,0.050633,-1.0,0.012658,0.25,0.101266,1.5,0.384615,0.375,0.102564,0.333333,0.038462,1.25,0.102564
77325,2025,bl1,8,2025-10-25T15:30:00+02:00,95,FC Augsburg,1635,RB Leipzig,train,-0.380952,0.244186,-0.52381,0.244186,-1.0,0.093023,0.714286,0.081395,0.787879,0.417722,-0.777778,0.113924,-0.8,0.063291,0.75,0.050633
77326,2025,bl1,8,2025-10-25T15:30:00+02:00,175,TSG Hoffenheim,199,1. FC Heidenheim 1846,train,0.458333,0.282353,0.6,0.058824,0.0,0.0,1.0,0.070588,-0.526316,0.296875,-1.0,0.03125,-1.0,0.015625,1.0,0.03125
77327,2025,bl1,8,2025-10-25T15:30:00+02:00,100,Hamburger SV,131,VfL Wolfsburg,train,0.423077,0.309524,0.071429,0.166667,-0.2,0.059524,1.0,0.22619,-1.52381,0.494118,-1.0,0.094118,-1.0,0.035294,-1.28,0.294118
77321,2025,bl1,8,2025-10-25T18:30:00+02:00,7,Borussia Dortmund,65,1. FC Köln,train,0.3125,0.372093,0.714286,0.081395,0.25,0.093023,0.266667,0.174419,0.703704,0.306818,-0.454545,0.25,-1.0,0.125,0.733333,0.170455
77319,2025,bl1,8,2025-10-26T15:30:00+01:00,6,Bayer 04 Leverkusen,112,SC Freiburg,train,-0.3,0.135135,-1.0,0.013514,-1.0,0.013514,-1.0,0.040541,1.176471,0.419753,0.444444,0.111111,1.0,0.061728,1.0,0.197531
77323,2025,bl1,8,2025-10-26T17:30:00+01:00,16,VfB Stuttgart,81,1. FSV Mainz 05,train,-0.129032,0.413333,-0.5,0.053333,-1.0,0.08,-0.315789,0.253333,0.0,0.414286,0.666667,0.257143,-0.1,0.142857,0.85,0.285714
77332,2025,bl1,9,2025-10-31T20:30:00+01:00,95,FC Augsburg,7,Borussia Dortmund,train,-1.618421,0.883721,-0.923077,0.151163,-1.0,0.116279,-0.541667,0.55814,0.815789,0.457831,0.2,0.120482,-0.75,0.192771,1.095238,0.253012
77329,2025,bl1,9,2025-11-01T15:30:00+01:00,81,1. FSV Mainz 05,134,SV Werder Bremen,train,-1.346939,0.644737,-0.5,0.105263,0.0,0.052632,-0.294118,0.223684,0.666667,0.265823,0.916667,0.151899,0.8,0.063291,0.888889,0.113924
77330,2025,bl1,9,2025-11-01T15:30:00+01:00,1635,RB Leipzig,16,VfB Stuttgart,train,1.24,0.595238,0.375,0.095238,0.333333,0.035714,1.0,0.095238,1.266667,0.38961,-0.416667,0.155844,0.25,0.051948,1.066667,0.194805
77333,2025,bl1,9,2025-11-01T15:30:00+01:00,80,1. FC Union Berlin,112,SC Freiburg,train,0.25,0.345679,0.8,0.061728,-0.75,0.049383,0.636364,0.135802,0.333333,0.153846,1.0,0.012821,1.0,0.038462,0.5,0.051282
77334,2025,bl1,9,2025-11-01T15:30:00+01:00,98,FC St. Pauli,87,Borussia Mönchengladbach,train,-0.26087,0.315068,0.8,0.068493,-0.25,0.054795,1.0,0.082192,-0.894737,0.457831,-0.545455,0.13253,1.0,0.024096,0.666667,0.144578
77335,2025,bl1,9,2025-11-01T15:30:00+01:00,199,1. FC Heidenheim 1846,91,Eintracht Frankfurt,train,-1.041667,0.585366,-1.0,0.243902,0.0,0.0,-1.0,0.121951,-0.238095,0.244186,0.75,0.046512,0.25,0.046512,0.6,0.05814
77328,2025,bl1,9,2025-11-01T18:30:00+01:00,40,FC Bayern München,6,Bayer 04 Leverkusen,train,1.483871,0.397436,0.571429,0.089744,1.5,0.025641,1.642857,0.179487,1.029412,0.447368,-0.818182,0.144737,-1.25,0.052632,0.863636,0.289474
77336,2025,bl1,9,2025-11-02T15:30:00+01:00,65,1. FC Köln,100,Hamburger SV,train,-0.166667,0.322581,-0.125,0.086022,0.5,0.043011,1.0,0.086022,0.46875,0.390244,0.833333,0.073171,1.0,0.012195,0.846154,0.158537
77331,2025,bl1,9,2025-11-02T17:30:00+01:00,131,VfL Wolfsburg,175,TSG Hoffenheim,train,-1.131579,0.469136,-1.0,0.08642,-1.0,0.012346,-1.217391,0.283951,0.071429,0.383562,0.0,0.0,-1.0,0.013699,1.666667,0.082192
77340,2025,bl1,10,2025-11-07T20:30:00+01:00,134,SV Werder Bremen,131,VfL Wolfsburg,train,-0.2,0.12987,-0.333333,0.077922,0.0,0.0,0.375,0.103896,-1.375,0.390244,-0.555556,0.109756,0.0,0.0,-0.2,0.243902
77337,2025,bl1,10,2025-11-08T15:30:00+01:00,6,Bayer 04 Leverkusen,199,1. FC Heidenheim 1846,train,0.5,0.35443,-1.0,0.050633,-0.75,0.050633,0.416667,0.151899,-0.52381,0.247059,-0.333333,0.035294,0.0,0.0,1.0,0.058824
77343,2025,bl1,10,2025-11-08T15:30:00+01:00,80,1. FC Union Berlin,40,FC Bayern München,train,-0.636364,0.142857,0.0,0.077922,-1.0,0.012987,0.888889,0.116883,1.5,0.315789,-0.8,0.131579,-1.0,0.144737,0.846154,0.171053
77344,2025,bl1,10,2025-11-08T15:30:00+01:00,175,TSG Hoffenheim,1635,RB Leipzig,train,1.064516,0.397436,-0.2,0.064103,1.5,0.025641,0.25,0.051282,1.173913,0.2875,0.0,0.125,0.0,0.0625,1.2,0.125
77345,2025,bl1,10,2025-11-08T15:30:00+01:00,100,Hamburger SV,7,Borussia Dortmund,train,-0.535714,0.333333,-0.214286,0.166667,1.0,0.011905,0.222222,0.107143,-0.060606,0.392857,0.071429,0.166667,-0.727273,0.130952,-0.470588,0.202381
77342,2025,bl1,10,2025-11-08T18:30:00+01:00,87,Borussia Mönchengladbach,65,1. FC Köln,train,-0.192308,0.342105,-0.043478,0.302632,0.25,0.210526,1.0,0.315789,1.029412,0.414634,0.75,0.195122,0.555556,0.109756,1.230769,0.317073
77339,2025,bl1,10,2025-11-09T15:30:00+01:00,112,SC Freiburg,98,FC St. Pauli,train,1.285714,0.494118,-0.833333,0.070588,-0.6,0.058824,1.166667,0.141176,-1.413793,0.367089,-1.0,0.012658,0.0,0.025316,-1.0,0.088608
77341,2025,bl1,10,2025-11-09T17:30:00+01:00,16,VfB Stuttgart,95,FC Augsburg,train,0.722222,0.642857,-0.857143,0.25,-0.666667,0.071429,0.666667,0.464286,-0.962963,0.329268,0.5,0.04878,1.0,0.02439,0.166667,0.073171
77338,2025,bl1,10,2025-11-09T19:30:00+01:00,91,Eintracht Frankfurt,81,1. FSV Mainz 05,train,0.090909,0.285714,0.1,0.12987,0.0,0.051948,1.111111,0.116883,0.277778,0.473684,-0.285714,0.092105,1.0,0.013158,0.8,0.263158
77348,2025,bl1,11,2025-11-21T20:30:00+01:00,81,1. FSV Mainz 05,175,TSG Hoffenheim,train,-1.444444,0.285714,0.2,0.079365,0.0,0.031746,-0.571429,0.111111,1.0,0.361446,0.625,0.096386,1.0,0.060241,1.0,0.228916
77346,2025,bl1,11,2025-11-22T15:30:00+01:00,40,FC Bayern München,112,SC Freiburg,train,1.045455,0.26506,0.125,0.096386,0.75,0.048193,1.222222,0.108434,0.333333,0.219512,0.4,0.121951,0.333333,0.109756,1.0,0.073171
77347,2025,bl1,11,2025-11-22T15:30:00+01:00,7,Borussia Dortmund,16,VfB Stuttgart,train,0.038462,0.346667,0.533333,0.2,0.571429,0.093333,0.611111,0.24,0.866667,0.357143,-0.529412,0.202381,-0.6,0.178571,1.076923,0.154762
77350,2025,bl1,11,2025-11-22T15:30:00+01:00,131,VfL Wolfsburg,6,Bayer 04 Leverkusen,train,-0.933333,0.365854,-0.818182,0.134146,0.0,0.0,0.1,0.121951,1.222222,0.102273,-0.666667,0.034091,-1.0,0.011364,1.0,0.022727
77351,2025,bl1,11,2025-11-22T15:30:00+01:00,95,FC Augsburg,100,Hamburger SV,train,-1.263158,0.253333,-0.857143,0.093333,0.0,0.0,0.0,0.12,-0.769231,0.168831,-0.375,0.103896,-0.166667,0.077922,0.0,0.064935
77353,2025,bl1,11,2025-11-22T15:30:00+01:00,199,1. FC Heidenheim 1846,87,Borussia Mönchengladbach,train,-1.047619,0.403846,-0.5,0.076923,-0.5,0.038462,0.333333,0.115385,0.972973,0.480519,0.809524,0.272727,0.333333,0.038961,1.076923,0.337662
